review_id,user_id,movie_id,rating,comment,created_at
1,,,1,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis.",7/16/24
2,,,3,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.",3/5/25
3,,,3,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",7/6/24
4,,,1,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",8/13/25
5,,,4,Morbi a ipsum.,1/2/25
6,,,1,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,12/18/24
7,,,3,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",8/12/24
8,,,2,Phasellus in felis. Donec semper sapien a libero.,11/1/24
9,,,2,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",3/8/25
10,,,3,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",4/25/25
11,,,3,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis.",3/12/25
12,,,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,2/23/25
13,,,3,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",11/28/24
14,,,4,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,6/25/25
15,,,4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",7/22/25
16,,,5,Pellentesque viverra pede ac diam.,3/20/25
17,,,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,7/14/24
18,,,4,Etiam vel augue.,12/19/24
19,,,3,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,5/13/25
20,,,4,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2/9/25
21,,,4,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,6/9/25
22,,,3,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,11/7/24
23,,,5,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,3/5/25
24,,,5,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",7/17/25
25,,,1,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",12/3/24
26,,,5,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,6/21/25
27,,,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",7/25/25
28,,,1,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,4/13/25
29,,,2,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",8/26/24
30,,,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,5/22/24
31,,,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",9/18/24
32,,,5,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",8/29/24
33,,,4,Vestibulum ac est lacinia nisi venenatis tristique.,11/28/24
34,,,3,Integer a nibh. In quis justo.,9/7/24
35,,,1,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",10/23/24
36,,,3,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,1/28/25
37,,,1,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,9/7/24
38,,,3,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",6/25/24
39,,,4,Praesent blandit.,8/5/25
40,,,2,Morbi a ipsum. Integer a nibh.,7/24/24
41,,,2,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",12/31/24
42,,,3,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,10/23/24
43,,,4,"Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",4/9/25
44,,,2,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,6/17/25
45,,,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",2/12/25
46,,,5,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",5/18/25
47,,,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",7/10/24
48,,,3,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",5/5/25
49,,,5,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",8/15/25
50,,,4,Integer ac neque.,6/12/24
51,,,3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",4/2/25
52,,,3,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",7/20/25
53,,,4,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,5/28/25
54,,,5,Phasellus in felis. Donec semper sapien a libero. Nam dui.,2/4/25
55,,,4,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,3/4/25
56,,,4,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",12/28/24
57,,,1,In hac habitasse platea dictumst.,6/7/24
58,,,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",4/18/25
59,,,3,Morbi non lectus.,6/8/24
60,,,4,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",5/26/24
61,,,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.,1/11/25
62,,,4,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",7/10/24
63,,,1,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,1/17/25
64,,,3,Quisque ut erat. Curabitur gravida nisi at nibh.,4/1/25
65,,,3,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3/9/25
66,,,4,Proin eu mi.,4/6/25
67,,,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",5/24/24
68,,,5,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,8/14/24
69,,,2,Suspendisse ornare consequat lectus.,5/19/25
70,,,2,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",5/11/25
71,,,2,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",3/15/25
72,,,5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",11/19/24
73,,,4,Praesent id massa id nisl venenatis lacinia.,7/8/24
74,,,1,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",6/30/24
75,,,1,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",4/27/25
76,,,4,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,8/13/24
77,,,5,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",12/20/24
78,,,2,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",6/9/25
79,,,5,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,6/8/25
80,,,5,Praesent blandit lacinia erat.,5/26/24
81,,,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",8/1/24
82,,,2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.",11/12/24
83,,,1,Nullam varius.,7/4/24
84,,,4,Pellentesque at nulla. Suspendisse potenti.,10/16/24
85,,,1,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,4/9/25
86,,,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",4/2/25
87,,,5,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",8/19/24
88,,,3,Donec vitae nisi.,8/6/25
89,,,3,Nulla ut erat id mauris vulputate elementum.,6/11/24
90,,,1,Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,4/10/25
